,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,acc_mean,acc_std
,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,Prec,Prec,Rec,Rec,F1,F1,,
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,,
ConvNeXt_small_Baseline,0.326,0.0498,0.3474,0.0976,0.3307,0.0579,0.8292,0.0573,0.7478,0.0928,0.7793,0.0296,0.9641,0.0028,0.9923,0.0049,0.978,0.0016,0.4946,0.0141,0.5517,0.0899,0.5179,0.0386,0.1329,0.1097,0.1,0.0848,0.1136,0.0949,0.7853,0.0037
ConvNeXt_tiny_Baseline,0.3534,0.0405,0.3579,0.1021,0.3515,0.0707,0.7218,0.0693,0.8,0.0443,0.7555,0.0323,0.9488,0.0074,0.9954,0.0038,0.9715,0.0029,0.4672,0.1147,0.3517,0.1868,0.3811,0.1745,0.3369,0.0778,0.3125,0.1854,0.2903,0.0981,0.7825,0.0147
EB0_Baseline,0.2952,0.1805,0.1474,0.1021,0.1959,0.1295,0.6999,0.0435,0.7739,0.0696,0.732,0.0251,0.9443,0.0092,0.9892,0.0062,0.9662,0.004,0.5216,0.0333,0.6897,0.1327,0.5902,0.0637,0.1152,0.1029,0.1,0.0935,0.1069,0.0977,0.7871,0.0122
EB1_Baseline,0.2273,0.1211,0.1158,0.0698,0.1526,0.0878,0.665,0.0782,0.7652,0.059,0.7058,0.0264,0.9471,0.0143,0.9862,0.0058,0.9661,0.0069,0.5121,0.0629,0.469,0.0833,0.4871,0.065,0.3607,0.0746,0.425,0.1075,0.3842,0.0738,0.776,0.0119
ResNet50_Baseline,0.3107,0.2539,0.0947,0.0614,0.1428,0.095,0.7188,0.1223,0.7043,0.0174,0.7067,0.0651,0.9335,0.0088,0.9923,0.0049,0.962,0.0035,0.4697,0.0206,0.7448,0.1319,0.5725,0.0574,0.0545,0.1091,0.075,0.15,0.0632,0.1263,0.7825,0.0114
ConvNeXt_small_KD_teacher,0.437,0.0567,0.5789,0.2642,0.4742,0.1659,0.8601,0.0505,0.8783,0.0577,0.8666,0.0283,0.9924,0.0,1.0,0.0,0.9962,0.0,0.5935,0.0874,0.6552,0.1495,0.6045,0.0627,0.2,0.1778,0.0875,0.0935,0.1171,0.1188,0.8369,0.0164
ConvNeXt_small_KD_student,0.365,0.0328,0.3895,0.0714,0.3734,0.0376,0.7906,0.0692,0.7826,0.0615,0.7864,0.0644,0.9745,0.0074,0.9954,0.0038,0.9848,0.0033,0.5282,0.0185,0.6483,0.0593,0.581,0.0294,0.2167,0.1944,0.1125,0.1212,0.1449,0.1487,0.8083,0.0103
ConvNeXt_tiny_KD_teacher,0.4168,0.0861,0.4947,0.1182,0.4507,0.0973,0.8785,0.0687,0.8087,0.059,0.838,0.0226,0.9924,0.0,1.0,0.0,0.9962,0.0,0.5472,0.035,0.4828,0.0975,0.5081,0.063,0.2951,0.0388,0.3125,0.1046,0.2976,0.0701,0.8157,0.012
ConvNeXt_tiny_KD_student,0.2982,0.0191,0.2737,0.0394,0.2828,0.0185,0.7875,0.0472,0.7826,0.0778,0.7813,0.0386,0.9631,0.017,0.9938,0.0058,0.9781,0.0063,0.55,0.0173,0.6483,0.1623,0.5853,0.0741,0.0862,0.106,0.0625,0.0791,0.0721,0.0899,0.7935,0.0147
EB0_KD_teacher,0.4259,0.0629,0.4632,0.1389,0.4392,0.1028,0.8423,0.0488,0.8174,0.0325,0.8286,0.0289,0.9924,0.0,1.0,0.0,0.9962,0.0,0.5705,0.0379,0.7724,0.0601,0.6533,0.0209,0.1333,0.1633,0.05,0.0729,0.0691,0.0947,0.8332,0.0122
EB0_KD_student,0.175,0.1208,0.0842,0.0918,0.1082,0.1022,0.6737,0.0715,0.7739,0.1079,0.7096,0.0282,0.9541,0.0082,0.9908,0.0058,0.9721,0.005,0.4293,0.0722,0.5379,0.1994,0.4689,0.1278,0.0842,0.0743,0.1,0.1016,0.0893,0.0836,0.7622,0.0199
EB1_KD_teacher,0.4434,0.1052,0.4526,0.1986,0.4411,0.1549,0.7978,0.1119,0.8522,0.0443,0.8215,0.0802,0.9924,0.0,1.0,0.0,0.9962,0.0,0.5447,0.0473,0.5793,0.2062,0.537,0.0909,0.1855,0.1538,0.1875,0.1854,0.1736,0.1551,0.8203,0.0196
EB1_KD_student,0.3636,0.1027,0.1579,0.0881,0.214,0.1059,0.6726,0.0719,0.8174,0.0639,0.7333,0.0404,0.9372,0.0066,0.9862,0.009,0.961,0.0031,0.5528,0.0377,0.5172,0.1703,0.5173,0.093,0.2628,0.0831,0.3125,0.2054,0.2674,0.1463,0.7834,0.0124
ResNet50_KD_teacher,0.2515,0.1618,0.1053,0.0744,0.1353,0.0854,0.7326,0.1059,0.3304,0.1857,0.4211,0.1249,0.9518,0.0084,1.0,0.0,0.9753,0.0044,0.3873,0.043,0.8138,0.0276,0.5234,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.7521,0.0163
ResNet50_KD_student,0.3438,0.2058,0.1368,0.0788,0.1916,0.1067,0.7169,0.121,0.687,0.0928,0.687,0.0365,0.9488,0.0044,0.9969,0.0038,0.9722,0.003,0.4988,0.0588,0.7931,0.0975,0.6066,0.0474,0.05,0.1,0.0375,0.075,0.0429,0.0857,0.7908,0.0099
